AMP ID,Project Title,Input,Outputs,Impact,Outcome,Status,Date of effectiveness,Actual Start Date,Date of Agreement,District,Donor Agency,Secondary Sector Sub-Sector,Secondary Sector Sub-Sub-Sector,Secondary Sector,Primary Sector Sub-Sub-Sector,Primary Sector Sub-Sector,Primary Sector,Total Actual Commitments,Total Actual Disbursements
  8723889736,Developing Capacities for Effective Aid Management and Coordination Project,Aid managemnt platform software and technical assistance  Capacity development activites  Logistics and technical support for finalization and implementation of foreign aid policy and antional action plan on aid effectiveness,Nepal Aid Management Platform designed and implemented  Implementation of revised Foregin Aid Policy and National Action Plan for aid effectiveness  Key Line minstries have ownership and capacity to engage in aid effectiveness reform,"Aid management and coordination system strengthened at MOF, NPC, MOE, MOHP and MOLD",Increased capacity of GON at national and local level to manage aid resources and deliver basic services in an inclusive and equitable manner,On-Going,02/02/2009,02/02/2009,01/01/2009, ," - Denmark
 - Department for International Development
 - United Nations Development Programme","General economic, commercial and labour affairs", ,ECONOMIC AFFAIRS, , ,OTHERS - ECONOMIC,1597987.418,1588672.841
  87238832382,Nepal Climate Change Support Programme, ,Climate resilient development initiatives are implemented by poor and vulnerable households in the most climate vulnerable districts   GoN institutional and funding mechanisms developed to channel resources for adaptation and climate resilient development initiatives effectively and accountably   Government and non-government agencies equipped with skills and incentives to deliver adaptation and climate resilient development   Climate compatible development policy framework in place at all levels,Nepal's poorest and most vulnerable are able to adapt well to climate change effects.,Enhanced capacity of Nepal Government to implement effective climate change responses,On-Going,,17/12/2010,," - Achham (Mangalsen)
 - Bajura (Martadi)
 - Bardiya (Gulariya)
 - Dailekh (Dullu)
 - Dang Deukhuri (Ghorahi)
 - Dolpa (Dolpa)
 - Humla (Simikot)
 - Jajarkot (Khalanga)
 - Jumla (Jumla Khalanga)
 - Kailali (Dhangadhi)
 - Mugu (Gamgadhi)
 - Rolpa (Liwang)
 - Rukum (Musikot)"," - Department for International Development
 - European Union", , ,ENVIRONMENTAL PROTECTION, , ,"ENVIRONMENT,SCIENCE & TECHNOLOGY",16571527.75,4820467.201
  8723831147,Financial Sector Technical Assistance Project,Restructuring and re-engineering the Nepal Rastra Bank for it to effectively perform key central banking functions.  Implementing reforms in the commercial banking sector that will focus initially on restructuring Rastriya Banijya Bank and Nepal Bank Ltd.  Improving the environment for financial sector reforms in areas such as credit information and financial news reporting through specialized training and capacity building.,"Part A: Reengineering of the Nepal Rastra Bank (NRB)   Strengthening NRB's human resource management capabilities.  Strengthening NRB's supervisory and regulatory capacity with respect to banks and non-banking financial institutions.  Supporting NRB's comprehensive legislative and regulatory reform efforts in the financial sector.  Strengthening NRB's accounting and auditing capabilities to produce better quality and more timely financial and accounting information.  Supporting Internal audit functions.  Conducting a training program for professional development of the staff of NRB and that of member banks of the Nepal Bankers' Associaiton including in-house training and attendance at external seminars and conferences.  Part B: Restructuring Rastriya Banijya Bank Limited and Nepal Bank Limited   Controlling bank day-to-day operations.  Stabilizing their operational and functional positions.  Strengthening the accounts of these institutions and improving their accounting system.  Designing a human resources program that will include, among other things, a training program, a retrenchment program and a revised remuneration package for bank staff, and  Preparing these institutions for divestiture from the public sector by way of hiring a bank restructuring advisor.  Part C: Other Financial Sector Assistance   Strengthening the Banker's Training Center.  Strengthening the Credit Information Bureau and the means through which credit information is disseminated.  Supporting training and capacity building among local journalists to assist them in conveying financial and business news and issues to the public.  Supporting the coordination Support Team in implementing and supervising the Project, especially in relation to financial management, procurement and coordination capabilities.  Supporting the establishment of a secured transaction registry for registering movable collateral.  Strengthening the capacity of the Debt Recovery Tribunal to improve loan recovery of banks and financial institutions.","Diligence and efficiency and in conformity with appropriate administrative, Banking, Economic and Financial practices and shall provide or cause to be provided, promptly as needed the funds, facilities, services and other resources required for the project. Under the supervision of qualified and experienced management assigned by competent staff in adaquate numbers and in accordance with the NRB Act.","The financial performance of two public sector banks, NBL and RBBL has been improved. Such as, Non-performing asset has been reduce, both banks have been earning net profit; they are conducting their audit on time and publishing financial results on time. Both banks have substantially reduced number of employees through Voluntary Retired Scheme (VRS). The both banks are almost automated their financial transaction.",Completed,30/04/2003,30/04/2003,30/04/2003, ," - Department for International Development
 - International Development Association", , ,ECONOMIC AFFAIRS, , ,FINANCIAL REFORM,23429011.2,21577271.35
  8723851222,Scaling Up Coverage and Quality of HIV & AIDS Prevention targeted to Most at Risk Population and Treatment Care and Support Services to PLHA,"Promote adoption of safe behaviors among most-at-risk populations (MARPS) (labor migrants  and their spouses, IDUs, and MSM) through increased access and availability of prevention  programs;  Expand access and coverage of quality HIV testing and counseling, as well as diagnosis and  treatment of sexually transmitted infections (STls);  Strengthen health services capacity to provide quality care and treatment for PLHA;  Increase access to quality community-based care and treatment for PLHA; and  Build the capacity of the Government of Nepal (GON) and civil society to manage and  implement HIV/AIDS activities.","Expansion of diagnosis and testing in 30 district hospitals and primary health care centers;   On going support to existing diagnostic and testing sites in public sector and to existing ART sites;   Update of national protocols and development of standards of practices for VCT services and development of quality assurance manual:   Review of national guidelines (taking account of MSM STI screening needs) - technical assistant;   Review ofNational Guidelines on Anti-Retroviral Therapy;   Review of National Pediatric HIV/AIDS Guidelines and practices;   Review of current sites, patient loads at existing sites, staffing and protocol to enhance quality;   Upgrade of existing ARV sites infrastructure, equipment and management;   Oversight/management/M & E capacity of central and district health officers in managing ART at ART sites;   Update 01 guideline and training package;   Revise/Develop National Protocol on national laboratory quality assurance;   Technical Assistance to develop a plan for External Quality Assurance System (EQAS);   Recruitment of staff at National Public Health Laboratory (NPHL);   Contract agency to manage supply chain management;   Technical assistance to realign inventory management system at central warehouse;   Procurement of Pharmaceuticals (ARVs, STI & 01 Drugs) products;   Procurement of CD4, laboratory equipments, laboratory reagents, test kits;   Procurement of harm reduction supplies and condoms;   Undertaking an assessment of the needs of children affected by AIDS;   Development of Strategic plan/policy for children affected by AIDS;   Strengthening of Strategic Inforn1ation Unit in government institution;   Establishment of database at the Government institution;   Strengthening ofhuman capacity at the district level ARV sites;   Conduct review of the functioning, scope and composition of the NAC and NACC;   Strengthening of the capacity of National Entities to take over the Principal Recipient to administer this grant in phase two;   Development of terms of reference and operational guidelines for District AIDS Coordination Committees.",Reduce HIV transmission in Nepal and enhanced quality of life of people living with HIV&AIDS in the country,"Strengthened national capacity for governance and coordination of AIDS response Local government and line agencies more effectively mobilized, resources managed and services delivered efficiently with regard to HIV & AIDS",Completed,15/11/2008,01/01/2009,02/11/2008, ," - Global Fund to Fight AIDS, Tuberculosis and Malaria
 - United Nations Development Programme",Out-patient services, ,HEALTH, , ,HEALTH,12055386,12261579
  8723879338,TA 7176-NEP: Promoting Private Sector Participation in the Power Sector,1. National and International Consultants' engagement 2. ADB review missions and tripartite meetings,a) Feasibility study report of the pilot projects in energy efficiency and loss reduction in line with ADB requirements. b) Environmental assessment report and a social safeguard plan in relation to the entire project.,"The impact of the TA will be increased transmission and distribution network capacity, reduced network losses, increased use of energy efficient lighting, use of solar-powered street lighting and private sector participation in distribution.",Complete project proposal acceptable to the ADB in line with its policies and guidelines,Completed,19/11/2008,19/11/2008,19/11/2008, ,Asian Development Bank,Fuel and energy, ,ECONOMIC AFFAIRS, , ,ELECTRICITY,150000,125744
  8723811265,Research and Development technical Assistance for effective Deployment of Distributed Wind Systems,"Large number of people in remote areas are lacking electricity. Most millenium Development goals will not be achieved if the hardship caused by enery poverty are allowed to persist. this TA will explore innovative and practical approaches to    Reduce costs of wind power equipment by tansfering appropriate technologies and optimizing manufaccuring processed  Reshape fiancing modalities and instruments and mobilize carbon credits ina paragmatic way  encouragge public-private partnership to stimulate investment and rresearch and developmnet activities for clean and renewable energy  displace combustion of boimass and fossil fules to reduce greenhouse gas emission and improve natioanl and village-level capacities for planning,implementing and maintaining decentralized systems for power generation and distribution","Needs assessment for typical windy poor rural communities currently lacking adequate access to electricity  Identification and selection of priority locations  Analysis of electricity demand patterns and load management requirements  Assessment of wind,solar and boigas resources and load distributiion in selected poor communities  Technical evaluation of and cost reduction exploration  Comparision of differernt approaches for energy storage and balancing  Examination of suitable ways to integrate wind,solar and biogas resources  Environmental impat assessment on uses of conventional battereis  Invvestigation of manufacturing delivey and sevicing procedures  Design of innovative financign mechanisms  Assistance in building public-private partnesrship and build-own-operate-rsnsfer modality  Policy recommendaaios  Construction of pilot demonstration projecs  Dissemination and apacity building activities","Improved economic, environmental and health conditions of poor rural eommunities in remote windy areas","Research will bw done on enhanced acess to clan, relaible and affordable electricity in poor windy villages currently without electricity by effectively deploying small wind power systems",Completed,17/06/2010,17/06/2010,17/12/2009, ,Asian Development Bank,R&D Housing and community amenities, ,HOUSING AND COMMUNITY AMENITIES, , ,ALTERNATE ENERGY,3870000, 
  872381026534,Output 2 (NPL7U502): Enhanced capacity  of men and women to prevent gender-based violence and support women seeking multisectoral services on gender-based violence (On Budget), , , , ,New,12/02/2013,12/02/2013,12/02/2013, ,United Nations Population Fund, , , , , ,"WOMEN, CHILDREN & SOCIAL WELFARE",7500,6201
  872381026536,Output 2 (NPL7U503): Enhanced capacity  of men and women to prevent gender-based violence and support women seeking multisectoral services on gender-based violence (On Budget), , , , ,New,12/02/2013,12/02/2013,12/02/2013, ,United Nations Population Fund, , , , , ,"WOMEN, CHILDREN & SOCIAL WELFARE",0,0
  872381026540,"Output 1 (NPL7U101): Strengthened capacity of relevant government ministries at national and subnational levels to address population dynamics and its interlinkages in policies, programmes and budgets (On Budget)", , , , ,New,12/02/2013,12/02/2013,12/02/2013, ,United Nations Population Fund, , , , , ," - LOCAL DEVELOPMENT
 - POPULATION
 - YOUTH, SPORTS & CULTURE",149549,135361
  872381026542,"Output 2 (NPL7U102): Improved data availability and analysis for evidence-based decision-making and policy formulation on population dynamics, adolescent sexual and reproductive health, and gender equality (On Budget)", , , , ,New,12/02/1023,12/02/1023,12/02/1023, ,United Nations Population Fund, , , , , ,LOCAL DEVELOPMENT,144383,117951
  872381026544,"Output 3 (NPL7U103): Strengthened capacity of networks for youth and for vulnerable women at central and local levels to influence development policies, plans and budgets (On Budget)", , , , ,New,12/02/2013,12/02/2013,12/02/2013, ,United Nations Population Fund, , , , , ," - WOMEN, CHILDREN & SOCIAL WELFARE
 - YOUTH, SPORTS & CULTURE",0,0
  872381026530,Output 2: Increased capacity of women and youth to access high-quality sexual and reproductive health services (On Budget), , , , ,New,12/02/2013,12/02/2013,12/02/2013, ,United Nations Population Fund,Public health services, ,HEALTH, , , ,64588,38570
  8723851788,Kabeli Transmission Project,"This Project intends to support the addition of transmission capacity to the intigrated power system, and to provide access to electricity and cooking fuel to communities in the area of the Kabeli 132 kV transmission line.The project consists of the following three parts: 1. Kabeli Corridor 132 kV Transmission Line, 2. Community - based Rural Electrification-Grid Extension, and 3. Rural Enhanced Energy Services.",Support the additional of transmission capacity to the Recipient's integrated power system; and  Provide access to electricity and cooking fuel to communities in the area of the Kabeli 132 kV transmission line.,After implementation of the project the capacity of the transmission line will be improve and enhanced access to electricity and cooking fuel to communities in the area of the Kabeli 132 kV transmission line.,The Kabeli Transmission Project will support the addition of transmission capacity to Nepal's integrated power system and provide access to electricity and cooking fuel to the communities of the Kabeli 132 kV transmission line area.,On-Going,21/09/2011,21/09/2011,27/06/2011," - Panchthar (Phidim)
 - Taplejung (Taplejung)",International Development Association,Fuel and energy, ,ECONOMIC AFFAIRS, , ,ELECTRICITY,36752657.68,6790000
  8723831114,Load Dispatch Center Extension,"Construction and equipment for a load dispatch center, in particular for SCADA equipment, telecommunication equipment, training measures and consulting services as well as for expanding the Balaju substation for connection of an additional 132 KV and an 66 KV line to the load dispatch center.","On the bases of agreement dated June 23, 1993 and Exchange of Notes dated October 17, 1996 on Financial Cooperation, Federal Republic of Germany extended a grant assistance amounting DM 40 million to establish a new Load Dispatch Center (LDC) and associated communication network and extension of Balaju Substation as well.",Improved the reliability and the economically viable operation of interconnected electricity supply system in Nepal.,The objective of the project is to contribute to the improvement of the reliability and the economically viable operation of the interconnected electricity supply system in Nepal. These targets shall be reached by:   Optimisation of operation of the various types of power plants according to merit order;  Reduction of supply interruption due to contineous supervision of the electricity system;  Faster restoration of the electricity supply after faults in generation and transmission.,Completed,04/12/1997,04/12/1997,04/12/1997,Kathmandu (Kathmandu),Kreditanstalt für Wiederaufbau,Fuel and energy, ,ECONOMIC AFFAIRS, , ,ELECTRICITY,23949501.1,25007186.93
  87238112568,Rani Jamara Kulariya Irrigation Project,Scheme modernization programme.    Strengthening water users association.    Agricultural Production support.    Project management.,The project will increase the capacity of irrigation and enhance the sustainable agricultural production and security of food.,"modernization of irrigation infrastructure ,development of water user group,preparation of agricultural development programme and so on results will be achieved.","The project will improve irrigation water delivery to, and management in ,the cammand area.",On-Going,30/11/2011,,29/04/2011,Kailali (Dhangadhi),International Development Association,"Agriculture, forestry, fishing and hunting", ,ECONOMIC AFFAIRS, , ,IRRIGATION,41653012.03,4727556
  872381559,Skills for Employment Project,"Increasing Access to Market-Oriented Short-Term Skills (MOST)  Capacity Strengthening  Supporting Policy Development, Articulation and Implementation","1. Increase access to market-oriented Short-term skills training  1.1 Information on short-term training and employment disseminated  1.2 Delivery of short-term skills training for formal and international labor markets supported  1.3 Delivery of community based market oriented short-terms skills   2.Capacity Strengthening  2.1 Key government agencies strengthened to serve the technical education and vocational training (TEVT) sector  2.2 Short-term training provision strengthened   3. Supporting Policy Development, Articulation, and Implementation  3.1 Prioritized sections of the national TEVT policy articulated and implementation initiated  3.2 Sustainable financing policy for a market oriented and efficient TEVT system developed","Improve access to employment or self employment for women, socially excluded Dalits, and disadvantaged groups, as well as poor socioeconomic groups in general.",Increased opportunities for market-oriented short-term (MOST) training,Completed,28/02/2006,28/02/2006,02/02/2005, ,Asian Development Bank, , ,EDUCATION, , ,EDUCATION,20000000,16632951
  8723879322,TA 7173-NEP:Strengthening Capacity for Managing Climate Change and the Environment, ,"Organizational framework is drafted and agreed upon by stakeholders  Funding mechanism for environmental management is agreed upon by stakeholders  Effective public education, information, and awareness activities on environment and climate change are developed and implemented",Strengthened country capacity for managing environment and climate change,"Improved, sustainable institutional framework for managing climate change and the environment is agreed upon by Government",On-Going,13/01/2009,13/01/2009,13/01/2009, ,Asian Development Bank,Environmental protection n.e.c., ,ENVIRONMENTAL PROTECTION, , ,"ENVIRONMENT,SCIENCE & TECHNOLOGY",1275000,1125407
  8723879327,TA 7411-NEP: Road Connectivity Project, ,"Feasibility Studies for 300 km of Strategic Road Network (SRN) roads for the proposed RCP, comprising technical, economic, financial, and safeguard analysis, including (a) Involuntarily resettlement screenig and impact categorization checklists; (b) draft resettlement plans; (c) consultation and participation plan; (d) indigenous peoples screening and impact categorization checklist; (e) summary poverty reduction and social strategy; (f) indigenous peoples development plans, if necessary; (g) gender strategy; (h) complementary poverty reduction program; (i) environmental screening and impact categorization checklist; (j) environmental assessment (IEE nad EIA) reports.  Capacity assessments of the proposed IA for the ensuing loan in particular in the areas of procurement and financial management.  On-the-job training and knowledge transfer to advance project readiness in line with the subsequent preparation of Detailed Design to ensure awards of the first civil works contract simultaneously with loan effectiveness.","Improved connectivity and accessiblity of communities in participating districts to markets, district headquarters and other centers of economic activity.",A preliminary project design agreeable to the Government and ADB.,On-Going,03/03/2010,03/03/2010,03/03/2010, ,Asian Development Bank,Transport, ,ECONOMIC AFFAIRS, , ,ROAD TRANSPORTATION,600000,550059
  8723879332,PPTA 7574-NEP: Governance Support Program (Subprogram II),"Review existing Civil Service Act and Local Government Service rules Initial stakeholder consultations on options for reforms Draft options analysis report    Review of RBM in public service   Draft performance-based contract (PBC) for review   Stakeholder consultations on PBC   Review existing PPP arrangements for service delivery at local level    Share the findings of the review with government, local bodies, and development partners for feedback   Prepare the plan for up scaling PPPs    Review local government block grant formula   Conduct stakeholders discussions   Prepare draft recommendations for review by government    Establish TA steering committee    Engage consultants for TA activities    Prepare draft program document for further processing   Conduct stakeholders' discussions on the draft program document   Regular reviews of the TA (by the Project Steering Committee and ADB)   Submission of inception report   Submission of interim report   Submission of final report   LGCDP = Local Governance and Community Development Program, PBC = performance-based contract, PPP = public-private partnerships, RBM = results-based management, S-PPTA = small-scale project preparatory technical assistance, TA = technical assistance","1. Various assessments needed for program processing, and collation of relevant baseline data are available.   2. Options analysis on Civil Service Act reforms and Local Government Service rules   5. Revisions of the local government block grant formula    6. Program document of Governance Support Program (Subprogram II)    7. Project administration and reporting    3. Draft design of RBM and PBC    4. Action plan on how to scale up PPPs for service delivery at local level", , ,On-Going,09/08/2010,09/08/2010,09/08/2010, ,Asian Development Bank,"Executive and legislative organs, financial and fiscal affairs, external", ,GENERAL PUBLIC SERVICE, , ,LOCAL DEVELOPMENT,200000,105204
  8723879343,Strengthening the Town Development Fund Capacity for Public Private Partnership, ,1. General TDF financing policy and guidelines at the sector level developed 2. TDF PPP financing policy and guidelines developed 3. Strengthened TDF capacity for project evaluation and appraisal,Greater development of social and municipal infrastructure in Nepal with PPP arrangements.,The Town Development Fund (TDF's) operational and PPP capacity is strengthened in providing efficient services to municipalities.,On-Going,23/02/2011,29/11/2010,23/02/2011, ,Asian Development Bank,Community development, ,HOUSING AND COMMUNITY AMENITIES, , ,URBAN DEVELOPMENT,310000,260425
  8723879337,TA7666-NEP: Energy Access and Efficiency Improvement Project,"1. Updating the assessment of the operational environment and the performance of the Nepal power sector, institutional setup, its future plans, and long term sustainability; problem tree analysis. 2. Carrying out the necessary surveys to establish baseline data in the project areas. 3. Assessment of the procurement and implementation capacity of Nepal Electricity Authority (NEA) considering each of the divisions handling the subprojects and prioritization of the subprojects. 4. Estimation (or review) of the foreign and local costs, taxes and duties and contingencies for each of thes ubprojects; Package contracts for goods and services economic and financial viability asessment, financial projects for NEA and assessment of its past financial performance and financial management systems. 5. Review safeguard documentation for subprojects, carry any additional safeguard assessments and preparation of associated plans.","1. Power Sector Assessment. 2. Report containing present and projected level of unserved demand in the project areas, baseline CO2 emissions and estimate CO2 reductions. 3. Procurement and implementation capacity assessment. 4. Subproject ranking. 5. Cost estimates and the list of contract packages. 6. Economic and financial due diligence report. 7. Initial environmental examination (or environmental impact assessment), environmental management plan, resettlement plan, monitoring plan, and gender action plan.","Increased electricity use by households, industries, and commercial institutions.","Reliable and efficient electricity supply with increased access by households, industries, and commercial institutions in the project areas.",On-Going,26/11/2010,26/11/2010,26/11/2010, ,Asian Development Bank,Fuel and energy, ,ECONOMIC AFFAIRS, , ,ENERGY,600000,416480
  8723879726,TA 7530-NEP: Supporting the Development of a Social Protection Framework,Output 1. Consolidated Social Protection Framework developed.   1.1 Form social protection task teams in the NSC member ministries (May 2010)   1.2 Organize participatory consultative workshop/meeting with stakeholders for the preparation of social protection framework (May - December 2010)   1.3 Prepare draft social protection framework (May - July 2010)   1.4 Prepare roadmap towards finalizing the social protection framework and get institutional set up for this roadmap in place (August - December 2010)   Output 2. Knowledge and skills of the participating agencies in social protection enhanced.   2.1 Organize social protection trainings/workshops/seminars (May 2010 - April 2011)   2.2 Organize a study tour (second half of 2010)   2.3 Initiate and support community of practice on social protection (May 2010 - April 2011)   Output 3. Organizational roles defined to implement social protection framework.   3.1 Assess institutional capacity of the agencies involved in social protection schemes implementation 3.2 Review and design institutional options for the implementation of social protection framework (July 2010 - Feb 2011)   Output 4. Financial options for social protection identified.   4.1 Analyze costs/expenditure for proposed social protection functions (July - October 2010) 4.2 Prepare cost and expenditure by social protection schemes (July - October 2010),1. Consolidated Social Protection Framework developed       2. Knowledge and skills of the participating agencies in social protection enhanced    3. Organizational roles defined to implement social protection framework       4. Financial options for social protection identified,Government's social protection objectives met,Strengthened capacity of government to manage social protection schemes,On-Going,12/05/2011,24/06/2010,, ,Asian Development Bank, , ,SOCIAL PROTECTION, , ,POLICY AND STRATEGIC,200000,141175
  8723879725,TA 7384-NEP: Institutional Strengthening of the National Planning Commission,"Component A   1. Develop list of options of for planning modalities in a federal system of governance based on best international practice (March-April 2010)   2. Develop a planning framework for the central, state and local level suitable to Nepal's context (May-July 2010)   3. Analyze legal ramifications of the proposed planning framework and prepare legal guidance and a framework as necessary (May-July 2010)   4. Develop an appropriate organizational structure for the central planning agency and state-level planning bodies, if any, to play their roles in the new planning framework (August-November 2010)   5. Develop a road map for making a transition to the new planning process (August-October 2010)   6. Submit draft final report (November 2010)   7. Submit final report incorporating comments of the EA and ADB (January 2011)   Component B   Provide inputs for formulating the new periodic plan and orient it toward a more decentralized and inclusive approaches (November 2009-April 2010)","1. A development planning framework for the federal system of governance    2. A new organizational structure for the central planning agency so it can play its role in the proposed planning framework   3. A broad organizational structure for planning institutions, if any, at the state and local levels   4. A strategy and a road map for making a transition to the new planning process   5. Inputs to formulate key components of the new periodic plan and orient it toward more decentralized approaches as part of the transition to the federal system of planning",More balanced and inclusive development,Strengthened institutional capacity for establishing a federal system of development planning and restructuring the NPC,On-Going,15/11/2009,16/12/2009,15/11/2009, ,Asian Development Bank,"General economic, commercial and labour affairs", ,ECONOMIC AFFAIRS, , ,POLICY AND STRATEGIC,625000,412397
  8723879722,TA 7042-NEP: Economic Policy Network II,"Establish a focal unit by March 2008.  Establish high-level advisory committee, executive committee and thematic committees by March 2008.   Prepare action plan for implementing policy papers developed during the 2003 TA&mdash;Establishing Economic Policy Network&mdash;by August 2008.  Conduct planning and review meetings of the steering committee and thematic committees to identify specific research topics.  Commission policy studies, monitor performance.   Disseminate strategy by September 2008.  Hold seminars and consultations to discuss and finalize the policy papers.  Hold regular meetings of the committees to monitor implementation progress.   Develop a public-private mechanism for monitoring and evaluation of the public policy reform agenda.  Prepare options for institutionalizing the economic policy network by September 2008.  Establish the institution by March 2009.  Widely disseminate information through periodic reports, conference, and regular update of EPN website.",1. Action plan for implementation of the policies 2. Policy papers on the selected policy issues 3. A unit for networking among all stakeholders and consolidating the policy reform agenda for policy preparation and dialogue    4. Mechanism for monitoring and evaluation based on public-private partnership,"Policy reform process is channeled through the institution created, and recommendations are adopted in the government system to promote growth and reduce poverty.","Institutional and human capacity of the stakeholders enhanced in adopting informed policy-making process, and increased ownership and consensus achieved among them",On-Going,24/02/2008,01/09/2008,24/02/2008, ,Asian Development Bank,R&D Economic affairs, ,ECONOMIC AFFAIRS, , ," - ECONOMIC REFORM
 - POLICY AND STRATEGIC",500000,419486
  8723879723,TA 7158-NEP: Strengthening Capacity for Management for Development Results,"Activities with Milestones    Output 1: MPPW, MLD, MOES, and NPC implement an MfDR approach in planning, budgeting, and monitoring their mandated responsibilities     1.1 Help establish steering committee, focal points, and groups, by March 2009. 1.2 Review and revise the results frameworks, business plans, and other MfDR initiatives in line with TYIDP and emerging priorities of the Government. 1.3 Support the ministries to integrate their business plans and results frameworks into the planning, budgeting, and monitoring systems, projects, and programs. 1.4 Help NPC to streamline results criteria in its project screening system in close consultation with line ministries and MOF.    Output 2: Results frameworks, indicators, and business plans implemented in MOAC and MOWR operations   2.1 Assess status of MfDR practices in the two ministries, including review of their mandates, vision, mission, and goals. 2.2 Help the ministries to develop result frameworks, performance indicators, and business plans in line with the sectoral results framework of the TYIDP and development priorities of the Government, in close consultation with NPC and relevant stakeholders. 2.3 Support the ministries to integrate business plans and results frameworks into the annual planning, budgeting, and monitoring systems, projects, and programs.   Output 3: Results-based budgets implemented by two public agencies   3.1 Assess the readiness of agencies for RBB using ADB's MfDR readiness tool. 3.2 Develop RBB modules for two agencies, with performance indicators on delivery of effective and efficient services. 3.3 Support, guide, and monitor the implementation of RBB, and report regularly to MOF and NPC. 3.4 Design and conduct a survey to assess the impact of pilots on service delivery improvements, and organize dissemination programs.   Output 4: Capacity of staff in selected agencies to apply MfDR approaches enhanced   4.1 Assess MfDR capacity in NPC and pilot ministries and establish baseline data on capacity. 4.2 Specify training needs of institutions (including scope/content of external training), and design capacity-development programs and training materials. 4.3 Organize capacity-development programs for strategic managers and for the operational level, and training-of-trainers programs. 4.4 Undertake training impact assessment and reflect improvements in competency in applying core MfDR skills.","1. MPPW, MLD, MOES, and NPC implement an MfDR approach in planning, budgeting, and monitoring their mandated responsibilities  2. Results framework, indicators, and business plans implemented in MOAC and MOWR operations.  3. Results-based budgets implemented by two public agencies  4. Capacity of staff in selected agencies to apply MfDR approaches enhanced",Improved development effectiveness and poverty reduction through adoption of MfDR approaches,MfDR approaches and practices operationalized in selected public sector agencies,On-Going,01/12/2008,01/12/2008,01/12/2008, ,Asian Development Bank,General public services n.e.c., ,GENERAL PUBLIC SERVICE, , ,PLANNING & STATISTICS,500000,409200
  8723879267,TA 7585 :Support to Build Capacity In TEVT, ,"1. A review of the issues in the VT system, and options for strengthening the system   2. An analysis of the national and international demand for Nepalese workers with technical skills  3. An analysis of institutional arrangement for effective delivery of VT programs  4. Preparation of an improved policy framework, including action plan for implementation  5. More inclusive skills development strategies that are responsive to the emerging demands of the economy and local communities in formal and informal sectors.",A coordinated and effective vocational training (VT) system to produce a skilled and productive labor force to meet the market demand and reduce poverty.,An improved policy framework to strengthen the VT system,On-Going,20/08/2010,20/08/2010,20/08/2010, ,Asian Development Bank, , ,EDUCATION, , ,EDUCATION,225000,143808
  872381642,Rural Finance Sector Development-Cluster Program  (Sub Program I),Favorable policy environment for RF operations  Institutional restructuring and reforms at ADBL  Institutional restructuring and reform at SFDB  Institutional restructuring and reforms at GBBs  Supportive legal and regulatory framework  Sector capacity building  Product and process innovations,"Rural Finance Sector Development Cluster Program ensures sustainable access of rural households to institutional financial services and encourages private sector participation in the rural finance sector. To develop a sustainable rural finance system for providing affordable services to the rural poor to generate income and reduce poverty. Rural Finance Sector Development, mainly through enabling sector policy environment and institutional reform and restructuring of major rural finance institutions.",Economic growth and poverty reduction in rural areas through improved rural financial intermediation and enhanced access to affordable RF services.,"Improved soundness, efficiency and outreach of rural finance (RF) system through policy, legal, regulatory and institutional reforms.",Completed,21/11/2006,21/11/2006,01/11/2006, ,Asian Development Bank,"Executive and legislative organs, financial and fiscal affairs, external", ,GENERAL PUBLIC SERVICE, , ,FINANCIAL REFORM,64700000,64161737
  8723868212,Local Peace Committee,"Materials and resources needed by the Committee and also the services of skilled facilitators, trainers and conciliators.","Implementation of the Comprehensive Peace Accord, subsequent treaties and other agreements and understandings.",Concerns and complaints of local stakeholders for democratic values and beliefs and a sustainable peace addressed.,An environment conducive for a just system in a transitional period through restoration of sustainable peace by resolving the remnants of conflict at the local level created.,On-Going,19/12/2008,19/12/2008,15/12/2008, ,Asian Development Bank,Public order and safety n.e.c., ,PUBLIC ORDER AND SAFETY, , ,PEACE AND RECONSTRUCTION,4500000, 
  87238792314,Promoting Financially Sustainable Regulatory Framework for Water Tariff in South Asia, ,(i) a summary of the current tariff structures   (ii) as assessment of the effectiveness of the ongoing reforms in the water sector   (iii) a blueprint of the national guidelines in India at the state level and a set of recommendations for the two pilot Indian cities under the JNNURM and the three three pilot areas in Nepal and Srilanka; and   (iv) a knowledge channel through workshops and publication where sector-related information can be sourced and shared among governments,Improved water demand management by water utilities and water conservation,Adoption of tariff that enables cost recovery,New,,,, ,Asian Development Bank,Water supply, ,HOUSING AND COMMUNITY AMENITIES, , ,DRINKING WATER, , 
