iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
US-USG-AID-1-NP-48068,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,BPA,BPA,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,150,0,0,0,0,0
US-USG-AID-1-NP-49839,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,CONTRACT,CONTRACT,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,109,0,0,0,0,0
44000-P010214,,2013-07-27 00:00:00,en,World Bank Group,44000,,AGRIC. EXTENSION II,"The Agricultural Extension Project is the second phase of an IDA-supported introduction of the Training and Visit (T&amp;V) extension system in Nepal.  This phase will reorganize and strengthen agricultural extension services in 11 administrative districts in the Terai with the objective of achieving early and sustainable improvement in agricultural productivity.  The project will aim to establish a T&amp;V extension infrastructure which will promote the adoption of low-cost and labor-intensive agricultural practices, and sound irrigation water management, thus facilitating better cropping patterns, greater crop diversification and more efficient fertilizer and water usage.  The project will also provide for training of staff and monitoring and evaluation of project activities.",3,,1994-12-31,1985-03-26,1994-12-31,,,,International Development Association,44002,,International Development Association,44002,,,,,NP,Nepal,,,,,31166,Agricultural extension,100,OECD Development Assistance Committee,2,,,C01,5,USD,,0,0,0,0,-125955,-693260,0
GB-CHC-202918-NPLA91,,2013-09-15 00:00:00,en,Oxfam GB,GB-CHC-202918,International NGO,Strengthening participation and influence of poor and vulnerable farmers ...,"The project worked with poor and vulenrable farmers of nine VDCs in three districts to build their knowledge, skills and capacities and network them in 90 farmer groups and networks at community and VDC level.",2,,2015-12-31,2013-01-01,,,,,EU - Food Security,,Government,Oxfam GB,GB-CHC-202918,International NGO,Oxfam Partner(s),,National NGO,NP,Nepal,,,,,;,;,40;60,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.;Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,,,,,,GBP,,414674,43132,59651,75699,0,0,0
US-USG-MCC-18-NP-176336-176336,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,Not Applicable,,2,,,2012-11-01,2013-07-30,,,,,,,Millennium Challenge Corporation,US-18,Government,,,,NP,Nepal,,,,,,,,,,110,,,,USD,USD,-16460,0,0,0,0,0,0
46004-38426-023-GRNT0267,1,2013-09-30 00:00:00,en,Asian Development Bank,46004,Multilateral,DECENTRALIZED RURAL INFRASTRUCTURE & LIVELIHOOD PR," The impact of the project will be reduced rural poverty in 18 poor and remote hill and mountain districts. The project outcome will be widened access to social services and economic opportunities. The project outcome will be achieved through the following outputs:(i) rural livelihood improved; (ii) capacity and decentralized local governance enhanced; (iii) rural transport infrastructure extended and maintained;  and (iv) project management improved.     

Output 1:  Rural Livelihood Improved 
The project will improve community infrastructure in the 18 districts. This will include 90 school buildings and health posts, 36 foot/mule/link trails, 54 water supply and irrigation schemes, 10 micro-hydropower, 8 rural market places, 10 ropeways, and other community infrastructure.  The project will provide livelihood related skills training to 3,000 beneficiaries from the project impact zones, of which at least 40% are women and 60%, are from poor and excluded groups.   In nine pilot districts, the project will work with existing savings and credit groups, and assist BGs willing to form themselves into formal Savings and Credit Cooperatives and facilitate their access to credit from existing institutional suppliers. 

Output 2:  Capacity and Decentralized Local Governance Enhanced 

The project will improve district and national capacity building to promote improved decentralized governance. The thrust will be on establishing the capacity for sustainable management of rural road networks, strengthening the decentralized management of rural infrastructure, and raising central capacity to support local government bodies.  

Output 3: Rural Transport Infrastructure Extended and Maintained 

The project will improve 260 kilometers (km) of rural roads in the 18 districts (200 km new and 60 km upgrading). Rural roads of 1,200 km will be maintained in the 18 districts and 6,500 meters of trail bridges will be constructed. The implementation of the road sub-projects will employ labor-based equipment-supported methods, and works performed by BGs will be promoted over construction by contractors. Only those civil works that cannot be executed by the communities may be awarded on the basis of local competitive bidding to contractors.
 Output 4: Project Management Improved 

Technical support to project implementation will be provided through a Central Implementation Support Consultant (CISC) and District Implementation Support Consultant (DISCs) in each of the 18 project districts.  
",2,2012-02-01,2017-06-30,,,Dept of Local Infra Devt & Agri Roads,,,Asian Development Bank,46004,Multilateral,,,,,,,NP,Nepal,,,,,,,,Reporting Organisation (i.e. maintained by the organisation referred to in the <reporting-org> element.,2,110,10,C01,5,USD,,7000000,1020905,0,0,0,0,0
GB-1-113841-102,2,2013-12-06 00:00:00,en,Department for International Development,GB-1,Government,Accountable Grant - GWS RWSP Iv - Prog Capital,,4,2008-04-01,2012-06-30,2008-04-01,2012-06-30,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY,20000,,NP,Nepal,,,,,13020;14030;14010,Reproductive health care;Basic drinking water supply and basic sanitation;Water resources policy and administrative management,10;40;50,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,,110,10,C01,5,GBP,!Mixed currency,750000,0,750000,0,0,0,0
47135-PPCRNP027A,,2014-02-10 00:00:00,en,Climate Investment Funds-Strategic Climate Fund,47135,,Building Climate Resilient Communities Through Private Sector Participation,"Catalyze financing to climate proof selected vulnerable private infrastructure, (housing and hydropower), address key constraints to agricultural productivity, and facilitate public and private sector awareness, collaboration, and investment in climate resilience",2,2012-09-10,,,,,,,,,,,,,International Finance Corporation,44004,Multilateral,NP,Nepal,,,,,,,,,2,,10,,,USD,,9000000,0,0,0,0,0,0
US-USG-AID-1-NP-19447,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,"The purpose of this GLAAS action is to establish reimbursement and Letter of Credit (LOC) payment methods.
IGF::OT::IGF","The purpose of this GLAAS action is to establish reimbursement and Letter of Credit (LOC) payment methods.
IGF::OT::IGF",2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,2300000,0,0,0,0,0,0
GB-1-201129-107,2,2014-03-31 00:00:00,en,Department for International Development,GB-1,Government,Nepal Climate Change Support Programme - Implementation through Government,,2,2011-02-01,2014-03-31,2011-02-01,2014-03-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,Other.,52000,,NP,Nepal,,,,,41010;41010,Environmental policy and administrative management;Environmental policy and administrative management,10;90,OECD Development Assistance Committee;OECD Development Assistance Committee,1,110,10,C01,5,GBP,!Mixed currency,9000000,5000000,0,0,0,0,0
GB-1-203274-101,2,2014-03-25 00:00:00,en,Department for International Development,GB-1,Government,Security and Justice Programme Design,,2,2014-01-01,2018-12-31,2014-01-01,2018-12-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,United Nations Development Programme,41114,,NP,Nepal,,,,,16010;15220;15210;,"Social/ welfare services;Civilian peace-building, conflict prevention and resolution;Security system management and reform;",10;20;30;40,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,1,110,10,C01,5,GBP,,0,0,0,0,0,0,0
US-USG-AID-1-NP-76640,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,"1)To provide incremental funding for Strengthen Political Parties, Electroal  and Legislative Processes Program (SPELP)-CEPPS III.

2)Budget realignment for Strengthen Political Parties, Electroal  and Legislative Processes Program (SPELP)-CEPPS III","1)To provide incremental funding for Strengthen Political Parties, Electroal  and Legislative Processes Program (SPELP)-CEPPS III.

2)Budget realignment for Strengthen Political Parties, Electroal  and Legislative Processes Program (SPELP)-CEPPS III",2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,490877,0,0,0,0,0
US-USG-MCC-18-NP-309832-309832,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,Not Applicable,,2,,,2013-07-01,2013-07-30,,,,,,,Millennium Challenge Corporation,US-18,Government,,,,NP,Nepal,,,,,,,,,,110,,,,USD,USD,-1976,0,0,0,0,0,0
GB-1-202433-107,2,2014-01-25 00:00:00,en,Department for International Development,GB-1,Government,Building Disaster Resilient Communities in Pokhara and Terai Region,,2,2012-01-17,2015-03-31,2012-01-17,2015-03-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,INTERNATIONAL NGO,21000,,NP,Nepal,,,,,41010;41010,Environmental policy and administrative management;Environmental policy and administrative management,10;90,OECD Development Assistance Committee;OECD Development Assistance Committee,,110,10,C01,5,GBP,!Mixed currency,3341465,1346441,0,0,0,0,0
US-1-2010042390,,,en,United States Government,US,Government,Program Support (Protection),"Develop and conduct needs assessments, baseline studies, targeted evaluations, special studies or other information-gathering efforts specifically for the design, monitoring and evaluation of USG-funded programs. This sub-element may also include developing and disseminating best practices and lessons learned, testing demonstration and/or pilot models, or the preparation of strategic plans and other short-term programming tasks. Note: All such activities that are carried out by partners as an in",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Personal Services Contractors - USAID,50000,,NP,Nepal,,,,,72050,Relief co-ordination; protection and support services,,OECD Development Assistance Committee,,,,,,USD,,0,1564,0,0,0,0,0
US-1-2009017701,,,en,United States Government,US,Government,Program Design and Learning,"Develop and conduct needs assessments, baseline studies, targeted evaluations, special studies or other information-gathering efforts specifically for the design, monitoring and evaluation of USG-funded programs. This sub-element may also include developing and disseminating best practices and lessons learned, testing demonstration and/or pilot models, or the preparation of strategic plans and other short-term programming tasks. Note: All such activities that are carried out by partners as an in [Enterprise - Non United States Unknown]",2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - Non United States Unknown,50000,,NP,Nepal,,,,,43010,Multisector aid,,OECD Development Assistance Committee,,,,,,USD,,0,9571,0,0,0,0,0
US-1-2010044484,,,en,United States Government,US,Government,Social Services,"Assist special populations which may be vulnerable or at-risk on a temporary or chronic basis whose needs are not addressed under emergency humanitarian assistance or other programs. These include groups such as the disabled; orphans, children and at-risk youth; victims of trafficking; victims of gender-based violence; refugees, returnees, ethnic minorities, internally displaced or other socially excluded groups; the elderly; and female heads of household. Depending on circumstances, services ma",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - Non United States Unknown,50000,,NP,Nepal,,,,,16010,Social/ welfare services,,OECD Development Assistance Committee,,,,,,USD,,0,141375,0,0,0,0,0
2007070057,,2014-01-09 00:00:00,en,Ministry for Foreign Affairs of Finland,FI-3,Government,Project preparation in Nepal,"Project preparation, monitoring and evaluation in Nepal.",,2007-07-06,2012-12-31,,,,,,Finland,FI,,Ministry for Foreign Affairs of Finland,FI-3,,Other,50000,,NP,Nepal,,,,,99810,Sectors not specified,,OECD Development Assistance Committee,1,,,,,EUR,EUR,0,48867.36,0,0,0,0,0
GGProj:11283,,2014-02-26 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,Train 10 Midwives To Save More Lives in Ilam Nepal,"This project will provide 10 days of training to 10 midwives in Nepal.  They will be taught safe birthing techniques and early identification of problems. This will enable them to save mothers' lives. Worldwide Healing Hands is partnering with Himalayan Healthcare to bring midwives from throughout the region to Ilam for this training. The Worldwide Healing Hands mission team is made up of all volunteers: doctors, nurses, and a certified nurse/midwife.",3,2012-09-01,2014-02-26,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,Worldwide Healing Hands,GGOrg:12089,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,7222,0,0,0,0,0
AU-5-INJ869-NP,1,2013-04-08 00:00:00,en,Australian Agency for International Development,AU-5,Government,South Asia Food and Nutrition Security Initiative,"South Asia Food and Nutrition Security Initiative (SAFANSI) forms part of the Government's commitment to advance Millennium Development Goals (MDG) in South Asia: MDG 1C reduce hunger; MDG 4 reduce child deaths; and MDG 5 improve maternal health. Malnutrition's most devastating impact is on foetal growth, and during the first two years of a child's life. Malnutrition accounts for up to 40% of child deaths each year. Despite healthy levels of economic growth, many of South Asia's countries have persistent and unacceptable levels of malnutrition with complex causality. South Asia has both the highest rates and the largest numbers of malnutrition in the world. Gender inequality and social exclusion are at the heart of the malnutrition problem in South Asia. About 23% (336 million) of the population in South Asia are routinely hungry, without access to enough calories, every day. This is greatly undermining human development and limiting South Asia's productivity with potential GDP loss estimates up to 3%. The funding of this initiative for SAFANSI will be a grant payment to a multi-donor trust fund administered by the World Bank, who will oversee activities to advance MDGs 1c, 4 and 5. The total value of this multi-country initiative is $5.77 million over 3 years, starting 2010-11.",2,2011-05-01,2014-09-30,2011-05-01,2014-09-30,,,,,,,,,,,,,NP,Nepal,,,,,,,,,,110,10,A02,,AUD,,0,0,754000,0,0,0,0
US-USG-AID-1-NP-51106,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,92615,86917,0,0,0,0,0
GB-3-A/02249,,,en,Foreign & Commonwealth Office,GB-3,Government,Nepal Library,"Support for free and uncensored flow of information, and for professional development, through library and information services",,2012-01-01,2012-12-31,,,,,,United Kingdom,GB,Government,Foreign & Commonwealth Office,GB-3,Government,,,,NP,Nepal,,,,,15163,Free flow of information,,OECD Development Assistance Committee,,,10,,,GBP,,0,211991,0,0,0,0,0
SE-6-5403001002-NP-99820,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,SMCs frame 2009-SMCs info 2009,Contribution to the frame-organisation Swedish mission council        according to agreement for development cooperation and development    education for 2009.,4,,,2009-01-01,2010-08-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,99820,Promotion of development awareness,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,8699,0,0,0,0,0
US-1-2010020893,,,en,United States Government,US,Government,Clean Productive Environment,"Improve sustainability of a productive and clean environment by reducing risks to the health of the workforce and the population in general, communities, and ecosystems from environmental pollution and other environmental risks associated with industrial and agricultural production, urbanization, energy use, transport, and other human activity. [through Ministry of Finance, Nepal]",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Government of Nepal,10000,,NP,Nepal,,,,,41020,Biosphere protection,,OECD Development Assistance Committee,,,,,,USD,USD,250000,0,0,0,0,0,0
US-1-2009011355,,,en,United States Government,US,Government,Elections and Political Processes,Promote legitimate contestation for ideas and political power through democratic political processes that reflect the will of the people. Establish or develop competitive multiparty systems through improving the legal and regulatory framework under which political parties and political entities operate. [Consortium for Elections and Political Process Strengthening],2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Consortium for Elections and Political Process Strengthening,22000,,NP,Nepal,,,,,,,,OECD Development Assistance Committee,,,,,,USD,,0,59106,0,0,0,0,0
GB-1-108532-103,2,2013-12-06 00:00:00,en,Department for International Development,GB-1,Government,Fund to World Bank  for  Health Sector Programme,,4,2004-07-01,2010-07-31,2004-07-01,2010-07-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,International Bank for Reconstruction and Development,44001,,NP,Nepal,,,,,12281;12261;12220;12110,Health personnel development;Health education;Basic health care;Health policy and administrative management,10;10;39;41,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,1,110,10,C01,5,GBP,!Mixed currency,85000,0,85000,0,0,0,0
US-1-2010038561,,,en,United States Government,US,Government,Other Public Health Threats,Address public health threats posed by infectious diseases not targeted elsewhere in the Framework as well as significant non-communicable health threats of major public health importance. [through Asia Pacific Communication],2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - Non United States Unknown,50000,,NP,Nepal,,,,,12220,Basic health care,,OECD Development Assistance Committee,,,,,,USD,,0,99,0,0,0,0,0
GB-1-200717-102,2,2013-12-06 00:00:00,en,Department for International Development,GB-1,Government,Cost for  Evaluation,,2,2009-12-10,2012-12-10,2009-12-10,2012-12-10,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,,,,NP,Nepal,,,,,33110,Trade policy and administrative management,,OECD Development Assistance Committee,1,,10,C01,5,GBP,,150000,0,0,0,0,0,0
US-1-2010017183,,,en,United States Government,US,Government,Agricultural Sector Productivity,"Sustain the productivity of the agricultural sector through investments that foster increasing returns to land, labor, and capital. Targeted interventions to male and female producers provide improvements in technology and management practices, expanded access to markets and credit, increased organizational and market efficiency, and restoration and protection of resiliency in production and livelihood systems. [through Enterprise - Non United States Unknown]",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - Non United States Unknown,50000,,NP,Nepal,,,,,31120,Agricultural development,,OECD Development Assistance Committee,,,,,,USD,,0,1322,0,0,0,0,0
US-1-2010023985,,,en,United States Government,US,Government,Enhance Stability and Security - Assistance for HIV/AIDS - Assistance for HIV/AIDS,PEPFAR: Enhance Stability and Security - Assistance for HIV/AIDS - Assistance for HIV/AIDS [through Personal Service Contractors - USAID],2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Personal Services Contractors - USAID,50000,,NP,Nepal,,,,,13040,STD control including HIV/AIDS,,OECD Development Assistance Committee,,,,,,USD,,0,377,0,0,0,0,0
44000-P010119,,2013-07-27 00:00:00,en,World Bank Group,44000,,TELECOMMUNICATION II,"The Third Telecommunications Project is designed to extend existing facilities so as to enable about 70% of the demand for local telephone service to be met; it will extend the long distance network to areas presently without service, provide long distance dialing and open up exchange service at 21 new locations; it also provides for subscribers radio facilities at 100 isolated locations (mainly community centers), will expand telex facilities to meet demand for most of the country and provide a small satellite earth station to improve and expand international telecommunication facilities. Provision has been made for technical assistance in project implementation and training. The project faces no special risks beyond those commonly associated with telecommunications projects.",3,,1985-06-30,1978-05-11,1985-06-30,,,,International Development Association,44002,,International Development Association,44002,,,,,NP,Nepal,,,,,22020,Telecommunications,100,OECD Development Assistance Committee,2,,,C01,5,USD,,0,0,0,0,-134578,-1087500,0
US-USG-AID-1-NP-28184,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,2292,0,0,0,0,0
GGProj:6470,,2013-12-03 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,School Screening Program,"The well being of the world's children is a responsibility we all share.  With your special gift, you support our work to identify and correct poor vision in the children of Nepal.",3,2010-09-27,2013-12-03,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,Global Reach International,GGOrg:2659,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,690,0,0,0,0,0
GGProj:15371,,2013-12-30 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,Teach For Nepal,"Only about 3 in 10 children in Nepal's public school system graduate from secondary schools. Where as 90% children who go to private schools graduate. We recruit, train, and place outstanding young Nepalese leaders to teach in rural public schools to end education inequity in Nepal. Teach For Nepal fellowship is a highly competitive, challenging, and rewarding leadership development program that will prepare the participants to be lifelong leaders.",2,2013-12-05,,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,Sarvodaya USA,GGOrg:3612,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,30,0,0,0,0,0
US-1-2010013422,,,en,United States Government,US,Government,Administration and Oversight (Civil Society),Administration and Oversight (Civil Society) [through Personal Service Contractors - USAID],2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Personal Services Contractors - USAID,50000,,NP,Nepal,,,,,15110,Economic and development policy/planning,,OECD Development Assistance Committee,,,,,,USD,,0,33999,0,0,0,0,0
GB-COH-871954-238,,,en,Practical Action,GB-COH-871954,International NGO,Support to CC,Support to CC,3,2012-04-01,2013-03-31,,,,,,,,,,,,,,,NP,Nepal,,798,"Asia, regional",,,,,,,,,,,GBP,,0,0,5522,-5525,0,0,0
US-USG-AID-1-NP-76635,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,To provide incremental funding.,To provide incremental funding.,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,748000,0,0,0,0,0,0
US-USG-AID-1-NP-91281,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,Incremental Funding and other administrative changes for Hariyo Ban Project.,Incremental Funding and other administrative changes for Hariyo Ban Project.,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,2221435,0,0,0,0,0,0
SE-6-5403000801-NP-15150,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,Rädda Barnen 09 frame-Rädda Barnen 09-frame,Frame support to Save the Children Sweden 2009-2011. Included is      support to Save the children's information work in Sweden (6 MSEK per year).,4,,,2009-02-01,2010-06-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,15150,Strengthening civil society,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,27586,0,0,0,0,0
GGProj:2739,,2014-01-02 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,Psychological Counseling for 20 Nepali Children,"In Nepal, psychological counseling is only now beginning to be used to help children address and recover  from trauma and the stresses of life.  The Nepal Youth Foundation's Ankur Counseling Center (ACC) offers counseling to needy children.  In addition, the ACC leads programs designed to teach professionals in education, medicine and social services how to provide these counseling services to children throughout the country.",2,2009-05-01,,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,Nepal Youth Foundation (NYF),GGOrg:394,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,1376,0,0,0,0,0
US-USG-AID-1-NP-6311,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,n/a,n/a,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,176,125,0,0,0,0,0
GB-1-203274-105,2,2014-01-11 00:00:00,en,Department for International Development,GB-1,Government,"Support to Ministry of Women, Children and Social Welfare",,2,2013-12-01,2018-12-31,2013-12-01,2018-12-31,,,,UNITED KINGDOM,GB,Government,Department for International Development,GB-1,Government,,,,NP,Nepal,,,,,16010;15130;15210;,Social/ welfare services;Legal and judicial development;Security system management and reform;,20;20;25;35,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,1,,10,C01,5,GBP,,11600000,0,0,0,0,0,0
GGProj:10597,,2013-05-31 00:00:00,en,GlobalGiving,US-EIN-300108263,International NGO,Peace School: Give Normalcy Back to Nepal Youth,"The Peace School is a model school for post-conflict societies around the world. The goals of this project are to contribute to healing and reconciliation in this post-conflict, but still caste-based, society. The Sarswati Peace School will play a vital role in re-establishing a sense of normalcy in the lives of children, fundamental to their healing and reintegration process.",3,2012-06-04,2013-05-31,,,,,,GlobalGiving,US-EIN-300108263,International NGO,,,,The Mountain Fund,GGOrg:743,,NP,Nepal,,,,,,,,,1,,30,C01,,USD,,0,110,0,0,0,0,0
US-1-2010017180,,,en,United States Government,US,Government,Agricultural Sector Productivity,"Sustain the productivity of the agricultural sector through investments that foster increasing returns to land, labor, and capital. Targeted interventions to male and female producers provide improvements in technology and management practices, expanded access to markets and credit, increased organizational and market efficiency, and restoration and protection of resiliency in production and livelihood systems. [through Invitational Travelers - USAID]",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Invitational Travelers - USAID,50000,,NP,Nepal,,,,,31120,Agricultural development,,OECD Development Assistance Committee,,,,,,USD,,0,12800,0,0,0,0,0
US-1-2010035801,,,en,United States Government,US,Government,Maternal and Child Health,"Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status, including effective maternity care and management of obstetric complications; prevention services including newborn care, routine immunization, polio eradication, safe water and hygiene, and micronutrients; improved maternal, infant and young child feeding; and treatment of life-threatening childhood illnesses. [through Asia P",2,2010-01-01,2010-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Enterprise - Non United States Unknown,50000,,NP,Nepal,,,,,13020,Reproductive health care,,OECD Development Assistance Committee,,,,,,USD,,0,448,0,0,0,0,0
US-USG-AID-1-NP-19301,1,2013-07-30 00:00:00,en,UNITED STATES,302,Government,Tiger Genome Project,Tiger Genome Project,2,,,2012-10-01,2013-07-30,,,,,,,Agency for International Development,US-1,Government,,,,NP,Nepal,,,,,,,,,1,110,,,,USD,USD,0,10198,0,0,0,0,0
SE-6-7400308901-NP-43081,2,2014-03-27 00:00:00,en,Swedish International Development Cooperation Agency,SE-6,Government,SHIA fram 2007-2009,Support to SHIA's global support to people with disabilities.,4,,,2006-12-01,2010-10-01,,,,Sweden,SE,Government,Swedish International Development Cooperation Agency,SE-6,Government,Donor country-based NGO,22000,National NGO,NP,Nepal,,,,,43081,Multisector education/training,100,OECD Development Assistance Committee,1,110,10,B03,5,USD,,0,38609,0,0,0,0,0
41122-2970/A0/04/511/004,1,2013-06-07 00:00:00,en,UNICEF,41122,Multilateral,IR4 - COMMUNITY MOBILIZATION & CAPACITY,"Stakeholders (DEOs, teachers, SMCs  and PTAs, community, children) haveknowledge and skills  to address and understand  transparency and accountability  issues in the schools  in DACAW and GE distircts.",2,2014-04-02,2014-04-02,,,,,,UNICEF (FOR GR ALLOCATIONS ONLY),,Multilateral,,,,,,,NP,Nepal,,998,"Bilateral, unspecified",,11110;;11220;11110;11110;11110;11110;12261;11220;11240;11110;11240;72010,Education policy and administrative management;;Primary education;Education policy and administrative management;Education policy and administrative management;Education policy and administrative management;Education policy and administrative management;Health education;Primary education;Early childhood education;Education policy and administrative management;Early childhood education;Material relief assistance and services,1;4;5;6;;5;1;;38;34;;1;4,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,579248.2,388896.56,0,0,0,0
US-1-2009020038,,,en,United States Government,US,Government,Reduced Fertility and Protected Health of Nepalese Families,Reduced Fertility and Protected Health of Nepalese Families [Academy for Educational Development],2,2009-01-01,2009-12-31,,,,,,United States of America,US-1,Government,U.S. Agency for International Development,US-1,Government,Academy for Educational Development,22000,,NP,Nepal,,,,,13020,Reproductive health care,,OECD Development Assistance Committee,,,,,,USD,,0,229599,0,0,0,0,0
